title,platform,psd_URL,icon_URL,price,status
Time Travel Bundle,PS4,https://psdeals.net/ua-store/game/2647155/time-travel-bundle,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP5257-CUSA14425_00-TIMETRAVELBUNDLE/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,329.00₴,-1
Wild Seas,PS5 / PS4,https://psdeals.net/ua-store/game/2647154/wild-seas,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP8701-PPSA15587_00-0692120502783627/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,159.00₴,-1
Monochrome Mobius: Rights and Wrongs Forgotten,PS5 / PS4,https://psdeals.net/ua-store/game/2647151/monochrome-mobius-rights-and-wrongs-forgotten,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP1063-PPSA15175_00-MMTOKINOTAIKA000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,799.00₴",-1
The Myth Seekers: The Legacy of Vulkan,PS5 / PS4,https://psdeals.net/ua-store/game/2647150/the-myth-seekers-the-legacy-of-vulkan,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP1667-PPSA16955_00-TMS1V0023PS5SIEE/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,589.00₴,-1
Myth and Fairy Tales bundle,PS5 / PS4,https://psdeals.net/ua-store/game/2647147/myth-and-fairy-tales-bundle,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP1667-PPSA16955_00-TMS1BUND2023SIEE/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,149.00₴",-1
Whitestone,PS4,https://psdeals.net/ua-store/game/2647149/whitestone,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0310-CUSA05714_00-WHITESTONEHUMORI/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,789.00₴,-1
Whitestone,PS5,https://psdeals.net/ua-store/game/2647148/whitestone,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0310-PPSA18700_00-WHITESTONEHUMORE/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,789.00₴,-1
The Myth Seekers: The Legacy of Vulkan,PS4,https://psdeals.net/ua-store/game/2647146/the-myth-seekers-the-legacy-of-vulkan,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP1667-CUSA43824_00-TMS1V0023PS4SIEE/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,489.00₴,-1
Seduce Me - The Complete Story PS4™ and PS5™,PS5 / PS4,https://psdeals.net/ua-store/game/2647145/seduce-me-the-complete-story-ps4-and-ps5,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0896-PPSA11323_00-SEDUCEMERATALAIK/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,329.00₴,-1
Runner Heroes - The Curse of Night and Day - Enhanced Edition,PS5,https://psdeals.net/ua-store/game/2647144/runner-heroes-the-curse-of-night-and-day-enhanced-edition,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP4681-PPSA06095_00-RUNNERHEROES0000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,949.00₴,-1
